station,frequency,norm
97.9,0.0,8714.384022
97.9,3.90625,257.590205
97.9,7.8125,113.827265
97.9,11.71875,72.691577
97.9,15.625,29.259989
97.9,19.53125,64.20148
97.9,23.4375,71.576117
97.9,27.34375,65.433609
97.9,31.25,46.038885
97.9,35.15625,55.482071
97.9,39.0625,71.605315
97.9,42.96875,22.550374
97.9,46.875,66.677325
97.9,50.78125,16.524167
97.9,54.6875,21.285548
97.9,58.59375,36.110886
97.9,62.5,14.500075
97.9,66.40625,56.605904
97.9,70.3125,20.972544
97.9,74.21875,17.262489
97.9,78.125,30.321217
97.9,82.03125,19.701431
97.9,85.9375,30.455031
97.9,89.84375,67.757539
97.9,93.75,38.342636
97.9,97.65625,71.263423
97.9,101.5625,39.379578
97.9,105.46875,48.864931
97.9,109.375,40.553466
97.9,113.28125,30.454819
97.9,117.1875,55.308807
97.9,121.09375,46.890174
97.9,125.0,61.731624
97.9,128.90625,18.336274
97.9,132.8125,36.783068
97.9,136.71875,9.307082
97.9,140.625,23.576909
97.9,144.53125,36.375743
97.9,148.4375,15.990146
97.9,152.34375,14.684215
97.9,156.25,35.777566
97.9,160.15625,14.869421
97.9,164.0625,43.516129
97.9,167.96875,31.501793
97.9,171.875,12.922218
97.9,175.78125,43.905882
97.9,179.6875,20.881096
97.9,183.59375,68.046568
97.9,187.5,33.733871
97.9,191.40625,42.134909
97.9,195.3125,22.02297
97.9,199.21875,11.908414
97.9,203.125,36.959653
97.9,207.03125,33.757282
97.9,210.9375,40.632089
97.9,214.84375,26.934619
97.9,218.75,10.067702
97.9,222.65625,26.156321
97.9,226.5625,11.966444
97.9,230.46875,19.542056
97.9,234.375,35.141983
97.9,238.28125,24.475838
97.9,242.1875,56.398292
97.9,246.09375,16.713442
97.9,250.0,49.419305
97.9,253.90625,14.572778
97.9,257.8125,24.793625
97.9,261.71875,19.415595
97.9,265.625,27.664228
97.9,269.53125,13.712896
97.9,273.4375,35.922666
97.9,277.34375,17.118716
97.9,281.25,44.164824
97.9,285.15625,12.313612
97.9,289.0625,41.209649
97.9,292.96875,18.469387
97.9,296.875,25.248954
97.9,300.78125,23.275497
97.9,304.6875,22.738721
97.9,308.59375,27.254111
97.9,312.5,20.513008
97.9,316.40625,28.880457
97.9,320.3125,22.096281
97.9,324.21875,23.086315
97.9,328.125,41.363459
97.9,332.03125,29.689849
97.9,335.9375,26.011331
97.9,339.84375,29.451072
97.9,343.75,20.675372
97.9,347.65625,14.871066
97.9,351.5625,32.389459
97.9,355.46875,27.525974
97.9,359.375,29.737483
97.9,363.28125,17.918015
97.9,367.1875,50.056388
97.9,371.09375,31.638332
97.9,375.0,39.900123
97.9,378.90625,37.108348
